fish #,population,collection date,sex,SL (mm),bodymass ,pelvic fins,eye diameter (mm),head length (mm),body depth (mm)
640,bore,May-14,F,31.8,1.02,left,2.032,8.119,9.221
641,bore,May-14,F,34.75,1.33,0,2.451,9.321,10.708
642,bore,May-14,M,26.25,0.48,2,2.001,7.483,7.676
643,bore,May-14,F,23.45,0.3,2,1.838,6.418,6.386
644,bore,May-14,M,30.55,0.72,2,1.903,8.29,9.138
645,bore,May-14,M,29.3,0.69,2,1.967,9.634,8.742
646,bore,May-14,M,34.8,1.15,left,2.373,8.66,9.629
647,bore,May-14,M,33.6,1.15,2,2.225,9.257,10.224
648,bore,May-14,F,28.2,0.63,2,1.838,7.58,8.339
649,bore,May-14,F,26.45,0.5,2,1.774,7.128,7.224
650,bore,May-14,F,28.45,0.62,2,1.935,7.451,8.358
651,bore,May-14,F,31.3,0.73,2,2.371,8.58,9.192
652,bore,May-14,M,27,0.54,2,1.903,7.515,7.709
653,bore,May-14,F,35.25,1.14,2,2.71,10.451,10.015
654,bore,May-14,M,27.75,0.61,2,2.08,7.838,8.032
655,bore,May-14,F,30.05,0.65,left,2.294,7.806,7.97
656,bore,May-14,F,28.25,0.53,2,1.967,7.201,7.487
657,bore,May-14,M,25.4,0.36,2,2.322,7.225,7.128
658,bore,May-14,F,25,0.42,2,1.628,6.182,6.422
677,bore,May-14,M,32,0.93,2,2.557,9.033,9.494
678,bore,May-14,F,32.55,0.88,right,2.643,9.686,9.16
679,bore,May-14,F,21.8,0.18,2,1.845,5.741,5.315
680,bore,May-14,F,33.8,1.01,0,2.592,8.916,9.576
681,bore,May-14,M,44.3,2.76,2,3.412,12.344,15.994
682,bore,May-14,F,26.75,0.4,2,1.64,6.794,6.442
683,bore,May-14,M,25.15,0.43,2,1.977,6.764,7.028
684,bore,May-14,M,25.75,0.41,2,2.108,6.896,6.984
685,bore,May-14,F,43.55,2.13,2,3.097,11.727,12.386
686,bore,May-14,M,29.45,0.66,left,2.152,8.301,8.653
687,bore,May-14,F,34.3,1.05,2,2.284,8.872,9.356
688,bore,May-14,M,33.25,0.93,0,2.548,9.049,9.356
689,bore,May-14,F,27.2,0.51,left,2.138,7.525,7.555
690,bore,May-14,M,29.35,0.67,right,2.24,8.038,8.433
691,bore,May-14,M,34.4,0.99,2,2.635,9.268,10.102
692,bore,May-14,F,27.5,0.46,2,2.064,7.247,6.984
693,bore,May-14,M,32.65,0.82,right,2.328,8.697,9.663
694,bore,May-14,M,26.8,0.38,2,2.05,6.618,6.647
695,bore,May-14,M,32.15,0.8,2,2.02,8.565,9.18
696,bore,May-14,M,26.4,0.45,2,1.933,7.496,6.94
697,bore,May-14,F,31.95,0.91,right,2.855,8.961,9.268
698,bore,May-14,M,41.9,2.3,2,3.119,12.43,14.407
699,bore,May-14,F,28.2,0.51,2,1.991,7.672,7.35
700,bore,May-14,M,25.25,0.36,2,1.962,6.793,6.471
701,bore,May-14,F,33.1,0.93,left,2.196,8.521,8.96
702,bore,May-14,F,40.9,1.92,left,2.907,11.596,12.826
703,bore,May-14,M,38.85,1.74,right,2.987,11.203,12.519
704,bore,May-14,F,27.15,0.5,2,2.021,6.945,7.234
705,bore,May-14,M,24.1,0.33,2,2.021,7.324,6.481
706,bore,May-14,F,39.65,1.72,2,2.681,10.676,11.815
707,bore,May-14,F,27.7,0.5,2,2.05,7.204,7.35
708,bore,May-14,M,26.3,0.42,2,2.021,6.999,7.059
709,bore,May-14,M,42.05,2.28,2,3.295,11.158,14.495
710,bore,May-14,F,41.75,2.07,2,2.902,11.069,12.342
711,bore,May-14,F,33.05,0.98,2,2.316,8.287,9.546
712,bore,May-14,M,36.65,1.21,0,2.99,9.619,10.455
713,bore,May-14,F,25.15,0.37,2,1.876,6.297,6.033
714,bore,May-14,M,44.2,2.7,0,2.988,10.849,14.802
715,bore,May-14,F,24.8,0.36,2,1.702,6.179,6.325
716,bore,May-14,M,36.75,1.51,2,2.683,9.408,11.465
717,bore,May-14,M,41.85,2.28,left,3.034,10.856,13.925
718,bore,May-14,M,33.2,0.95,2,2.376,9.312,10.015
719,bore,May-14,F,26.8,0.49,0,2.05,6.328,7.203
720,bore,May-14,M,44.25,2.29,0,3.558,11.245,14.431
721,bore,May-14,F,37.65,1.51,0,2.882,9.82,10.981
722,bore,May-14,M,33.6,1.13,2,2.554,9.487,10.632
723,bore,May-14,F,38.7,1.63,2,3.339,10.559,11.85
724,bore,May-14,F,23.35,0.29,2,1.933,6.128,5.998
725,bore,May-14,F,24.1,0.72,right,1.64,6.121,6.033
726,bore,May-14,M,36.6,1.54,2,2.768,9.929,12.079
727,bore,May-14,F,29.65,0.74,2,2.332,7.513,8.524
728,bore,May-14,F,25.5,0.45,left,2.197,6.633,6.896
729,bore,May-14,M,35.95,1.23,2,2.814,9.752,11.069
730,bore,May-14,M,34.05,1.1,0,2.637,9.444,10.278
731,bore,May-14,M,42,2.26,0,3.031,11.139,14.175
732,bore,May-14,M,24.95,0.34,left,1.984,6.371,6.506
733,bore,May-14,M,29.7,0.63,2,2.33,7.819,8.698
734,bore,May-14,F,29.3,0.67,0,2.335,7.511,8.217
735,bore,May-14,F,27.3,0.57,2,1.984,7.03,7.688
736,bore,May-14,F,40.5,1.82,2,3.295,11.289,11.996
737,bore,May-14,F,35.8,1.27,right,2.422,9.184,10.242
738,bore,May-14,F,37.7,1.57,2,3.036,10.016,11.079
739,bore,May-14,M,27.65,0.58,2,2.466,7.38,8.39
740,bore,May-14,F,26.5,0.43,2,1.95,6.283,6.501
741,bore,May-14,F,31.85,0.85,2,2.33,8.477,9.095
742,bore,May-14,M,31.3,0.81,2,2.461,8.345,9.181
743,bore,May-14,M,32.35,0.96,2,2.551,8.214,9.927
744,bore,May-14,M,29.55,0.67,2,2.592,7.995,8.653
745,bore,May-14,F,26.7,0.47,2,2.069,6.853,7.247
746,bore,May-14,M,45.3,2.37,2,3.429,12.387,14.825
747,bore,May-14,F,35.05,1.14,0,2.577,8.314,9.817
748,bore,May-14,F,25.75,0.4,2,1.806,6.55,6.504
749,bore,May-14,F,28.75,0.61,2,2.203,7.862,8.129
750,bore,May-14,M,28,0.52,right,2.022,7.607,7.292
751,bore,May-14,F,25,0.39,2,1.978,6.677,6.37
752,bore,May-14,M,25.25,0.41,2,1.893,6.676,6.896
753,bore,May-14,M,41.7,2.7,2,2.987,11.818,14.59
754,bore,May-14,F,37.9,1.31,2,2.863,9.711,10.542
