fish #,population,collection date,sex,SL (mm),bodymass,pelvic fins
101,bore,13-Sep,F,35,1.37,2
102,bore,13-Sep,M,32.45,1.24,2
103,bore,13-Sep,F,35.05,1.3,2
104,bore,13-Sep,M,36.15,1.48,right
105,bore,13-Sep,M,28.3,0.78,2
106,bore,13-Sep,F,33.2,1.19,2
107,bore,13-Sep,M,30.45,0.94,right
108,bore,13-Sep,F,31.95,1.08,2
109,bore,13-Sep,F,26.45,0.55,right
110,bore,13-Sep,M,36.8,1.68,2
111,bore,13-Sep,F,34.2,1.17,2
112,bore,13-Sep,M,32.2,1.19,right
113,bore,13-Sep,F,32,0.89,left
114,bore,13-Sep,M,30.8,0.87,2
115,bore,13-Sep,M,40.75,1.84,left
116,bore,13-Sep,F,31.5,0.83,2
201,bore,13-Sep,F,37.34,n/a,2
202,bore,13-Sep,F,31.56,n/a,0
203,bore,13-Sep,M,22.81,n/a,2
204,bore,13-Sep,M,33.05,n/a,left
205,bore,13-Sep,M,32.28,n/a,2
206,bore,13-Sep,F,30.68,n/a,2
207,bore,13-Sep,M,25.31,n/a,right
208,bore,13-Sep,M,26.81,n/a,2
209,bore,13-Sep,F,33.15,n/a,0
210,bore,13-Sep,F,32.51,n/a,left
211,bore,13-Sep,M,31.9,n/a,0
212,bore,13-Sep,F,n/a,n/a,0
213,bore,13-Sep,M,32.54,n/a,2
214,bore,13-Sep,M,31.14,n/a,2
215,bore,13-Sep,F,31.4,n/a,right
216,bore,13-Sep,M,30.4,n/a,right
217,bore,13-Sep,F,29.3,n/a,0
218,bore,13-Sep,M,39.53,n/a,0
219,bore,13-Sep,F,28.1,n/a,2
220,bore,13-Sep,F,37.46,n/a,2
221,bore,13-Sep,M,26.03,n/a,2
222,bore,13-Sep,F,34.15,n/a,2
223,bore,13-Sep,M,29.54,n/a,2
224,bore,13-Sep,F,25.15,n/a,2
225,bore,13-Sep,F,29.96,n/a,2
226,bore,13-Sep,M,28.2,n/a,2
227,bore,13-Sep,M,n/a,n/a,2
228,bore,13-Sep,F,30.81,n/a,2
229,bore,13-Sep,F,33.13,n/a,left
230,bore,13-Sep,F,33.13,n/a,2
231,bore,13-Sep,F,27.93,n/a,left
232,bore,13-Sep,F,23.29,n/a,2
233,bore,13-Sep,F,23.85,n/a,left
234,bore,13-Sep,F,29.66,n/a,2
235,bore,13-Sep,M,36.4,n/a,2
236,bore,13-Sep,M,38.06,n/a,0
237,bore,13-Sep,M,25.17,n/a,0
238,bore,13-Sep,F,33.23,n/a,2
239,bore,13-Sep,F,35.19,n/a,0
240,bore,13-Sep,F,28.95,n/a,2
241,bore,13-Sep,F,33.6,n/a,left
242,bore,13-Sep,M,30.53,n/a,2
243,bore,13-Sep,F,30.64,n/a,2
244,bore,13-Sep,F,28.31,n/a,2
245,bore,13-Sep,F,30.66,n/a,2
246,bore,13-Sep,M,40.98,n/a,2
247,bore,13-Sep,F,33.91,n/a,left
248,bore,13-Sep,M,27.88,n/a,left
249,bore,13-Sep,M,25.98,n/a,2
250,bore,13-Sep,M,33.07,n/a,2
251,bore,13-Sep,F,28.11,n/a,0
252,bore,13-Sep,F,36.2,n/a,left
253,bore,13-Sep,F,29.21,n/a,2
254,bore,13-Sep,M,32.86,n/a,2
255,bore,13-Sep,M,23.88,n/a,2
256,bore,13-Sep,F,28.23,n/a,2
257,bore,13-Sep,F,30,n/a,right
258,bore,13-Sep,M,30.87,n/a,2
259,bore,13-Sep,F,35.74,n/a,2
260,bore,13-Sep,M,23.83,n/a,left
261,bore,13-Sep,F,35.5,n/a,2
262,bore,13-Sep,F,32.29,n/a,2
263,bore,13-Sep,F,31.4,n/a,2
264,bore,13-Sep,F,28.95,n/a,0
265,bore,13-Sep,M,24.75,n/a,0
266,bore,13-Sep,M,34.53,n/a,2
267,bore,13-Sep,F,29.83,n/a,2
268,bore,13-Sep,M,30.56,n/a,2
269,bore,13-Sep,M,31.69,n/a,left
270,bore,13-Sep,F,33.28,n/a,0
271,bore,13-Sep,M,31.14,n/a,2
272,bore,13-Sep,M,28.4,n/a,2
273,bore,13-Sep,M,32.95,n/a,2
274,bore,13-Sep,M,29.27,n/a,0
275,bore,13-Sep,M,30.2,n/a,2
276,bore,13-Sep,F,25.91,n/a,2
277,bore,13-Sep,M,26.85,n/a,2
278,bore,13-Sep,F,34.46,n/a,0
279,bore,13-Sep,M,28.41,n/a,2
280,bore,13-Sep,F,30.51,n/a,2
281,bore,13-Sep,F,36.19,n/a,2
282,bore,13-Sep,M,34.33,n/a,2
283,bore,13-Sep,M,26.66,n/a,2
284,bore,13-Sep,F,28,n/a,2
285,bore,13-Sep,M,24.92,n/a,2
286,bore,13-Sep,M,34.44,n/a,2
287,bore,13-Sep,F,29.9,n/a,2
288,bore,13-Sep,F,35.59,n/a,right
289,bore,13-Sep,F,28.09,n/a,2
290,bore,13-Sep,M,32.19,n/a,2
291,bore,13-Sep,M,29.7,n/a,2
292,bore,13-Sep,F,33.86,n/a,0
293,bore,13-Sep,M,26,n/a,2
294,bore,13-Sep,F,36.42,n/a,2
295,bore,13-Sep,F,31.75,n/a,left
296,bore,13-Sep,F,26.61,n/a,2
297,bore,13-Sep,F,25.88,n/a,2
298,bore,13-Sep,F,30.38,n/a,2
299,bore,13-Sep,F,37.26,n/a,2
300,bore,13-Sep,M,35.53,n/a,2
301,bore,13-Sep,F,33.13,n/a,left
302,bore,13-Sep,M,31.48,n/a,2
303,bore,13-Sep,M,24.21,n/a,left
304,bore,13-Sep,M,29.75,n/a,left
305,bore,13-Sep,F,34.53,n/a,2
306,bore,13-Sep,M,33.13,n/a,2
307,bore,13-Sep,M,28.95,n/a,2
308,bore,13-Sep,F,34.83,n/a,2
309,bore,13-Sep,M,28.27,n/a,right
310,bore,13-Sep,M,27.13,n/a,left
311,bore,13-Sep,F,34.15,n/a,right
312,bore,13-Sep,M,25.64,n/a,2
313,bore,13-Sep,M,29.8,n/a,2
314,bore,13-Sep,F,31.2,n/a,2
315,bore,13-Sep,F,32.23,n/a,right
316,bore,13-Sep,M,30.07,n/a,left
317,bore,13-Sep,F,33.46,n/a,0
318,bore,13-Sep,M,29.21,n/a,left
319,bore,13-Sep,M,28.43,n/a,2
320,bore,13-Sep,F,26.77,n/a,2
321,bore,13-Sep,M,27.76,n/a,left
322,bore,13-Sep,F,29.86,n/a,2
323,bore,13-Sep,M,30.22,n/a,2
324,bore,13-Sep,M,31.96,1.04,2
325,bore,13-Sep,F,34.35,1.32,2
326,bore,13-Sep,M,29.66,0.86,right
327,bore,13-Sep,M,27.64,0.6,2
328,bore,13-Sep,F,34.95,1.29,2
329,bore,13-Sep,F,26.13,0.5,left
330,bore,13-Sep,M,30.21,0.72,2
331,bore,13-Sep,M,32.77,0.97,2
332,bore,13-Sep,M,38.45,1.73,2
333,bore,13-Sep,M,29.29,0.67,2
334,bore,13-Sep,M,27.87,0.53,0
335,bore,13-Sep,M,24.6,0.32,left
336,bore,13-Sep,M,30.55,0.72,0
337,bore,13-Sep,M,38.12,1.48,2
338,bore,13-Sep,F,30.76,0.76,left
339,bore,13-Sep,F,27.2,0.51,0
340,bore,13-Sep,M,28.68,0.65,2
341,bore,13-Sep,F,26.24,0.45,2
342,bore,13-Sep,M,31.35,0.79,right
343,bore,13-Sep,M,35.54,1.26,2
344,bore,13-Sep,F,28.75,0.6,2
345,bore,13-Sep,F,29.31,0.57,2
346,bore,13-Sep,M,21.97,0.26,left
347,bore,13-Sep,M,35.35,1.17,2
348,bore,13-Sep,M,29.38,0.73,2
349,bore,13-Sep,M,27.4,0.51,2
350,bore,13-Sep,F,31.8,0.9,left
351,bore,13-Sep,M,29.86,0.75,2
352,bore,13-Sep,F,32.27,0.79,2
353,bore,13-Sep,F,36.46,1.25,2
354,bore,13-Sep,F,32.57,0.99,2
355,bore,13-Sep,F,38,1.51,2
356,bore,13-Sep,F,25.99,0.46,0
357,bore,13-Sep,F,26.34,0.5,2
358,bore,13-Sep,M,28.47,0.52,2
359,bore,13-Sep,F,33.41,0.87,2
360,bore,13-Sep,M,28.28,0.63,2
361,bore,13-Sep,F,28.07,0.57,2
362,bore,13-Sep,M,26.94,0.53,2
363,bore,13-Sep,M,26.05,0.83,left
364,bore,13-Sep,M,28.34,0.64,2
365,bore,13-Sep,F,32.29,0.89,left
366,bore,13-Sep,M,30.29,0.88,left
367,bore,13-Sep,F,23.5,0.37,2
368,bore,13-Sep,F,28.22,0.59,2
369,bore,13-Sep,F,20.04,0.17,2
370,bore,13-Sep,M,30.5,0.91,left
371,bore,13-Sep,F,23.34,0.33,2
372,bore,13-Sep,M,27.99,0.57,2
373,bore,13-Sep,F,30.84,0.94,0
374,bore,13-Sep,F,24.81,0.43,2
375,bore,13-Sep,M,36.03,1.55,2
376,bore,13-Sep,F,32.31,1.08,left
377,bore,13-Sep,F,35.17,1.26,2
378,bore,13-Sep,M,28.07,0.64,2
379,bore,13-Sep,M,28.45,0.69,2
380,bore,13-Sep,F,33.89,1.16,right
381,bore,13-Sep,F,32.24,0.96,left
382,bore,13-Sep,F,26.31,0.52,2
383,bore,13-Sep,M,29.07,0.69,2
384,bore,13-Sep,F,29.67,0.64,right
385,bore,13-Sep,M,32.68,1.05,left
386,bore,13-Sep,F,25.5,0.44,2
387,bore,13-Sep,M,29.46,0.77,2
388,bore,13-Sep,F,32.64,1.18,2
389,bore,13-Sep,F,34.11,1.16,2
390,bore,13-Sep,M,25.14,0.42,0
391,bore,13-Sep,M,32.96,1.16,left
392,bore,13-Sep,M,27.78,0.67,right
393,bore,13-Sep,M,28.2,0.62,0
394,bore,13-Sep,M,31.96,0.87,2
395,bore,13-Sep,M,37.77,1.46,2
396,bore,13-Sep,F,32.41,0.86,2
397,bore,13-Sep,F,29.02,0.64,2
